,number_of_passage,timestamp,line,road_type
190,0,2022-02-09 04:00:00,USKUDAR-EMINONU,DENIZ
191,0,2022-02-09 05:00:00,USKUDAR-EMINONU,DENIZ
192,413,2022-02-09 06:00:00,USKUDAR-EMINONU,DENIZ
193,872,2022-02-09 07:00:00,USKUDAR-EMINONU,DENIZ
194,856,2022-02-09 08:00:00,USKUDAR-EMINONU,DENIZ
195,636,2022-02-09 09:00:00,USKUDAR-EMINONU,DENIZ
196,604,2022-02-09 10:00:00,USKUDAR-EMINONU,DENIZ
197,698,2022-02-09 11:00:00,USKUDAR-EMINONU,DENIZ
198,855,2022-02-09 12:00:00,USKUDAR-EMINONU,DENIZ
199,889,2022-02-09 13:00:00,USKUDAR-EMINONU,DENIZ
200,820,2022-02-09 14:00:00,USKUDAR-EMINONU,DENIZ
201,856,2022-02-09 15:00:00,USKUDAR-EMINONU,DENIZ
202,579,2022-02-09 16:00:00,USKUDAR-EMINONU,DENIZ
203,567,2022-02-09 17:00:00,USKUDAR-EMINONU,DENIZ
204,353,2022-02-09 18:00:00,USKUDAR-EMINONU,DENIZ
205,309,2022-02-09 19:00:00,USKUDAR-EMINONU,DENIZ
206,159,2022-02-09 20:00:00,USKUDAR-EMINONU,DENIZ
207,140,2022-02-09 21:00:00,USKUDAR-EMINONU,DENIZ
208,0,2022-02-09 22:00:00,USKUDAR-EMINONU,DENIZ
209,0,2022-02-09 23:00:00,USKUDAR-EMINONU,DENIZ
210,0,2022-02-10 00:00:00,USKUDAR-EMINONU,DENIZ
211,0,2022-02-10 01:00:00,USKUDAR-EMINONU,DENIZ
212,0,2022-02-10 02:00:00,USKUDAR-EMINONU,DENIZ
213,0,2022-02-10 03:00:00,USKUDAR-EMINONU,DENIZ
214,0,2022-02-10 04:00:00,USKUDAR-EMINONU,DENIZ
215,0,2022-02-10 05:00:00,USKUDAR-EMINONU,DENIZ
216,422,2022-02-10 06:00:00,USKUDAR-EMINONU,DENIZ
217,1001,2022-02-10 07:00:00,USKUDAR-EMINONU,DENIZ
218,845,2022-02-10 08:00:00,USKUDAR-EMINONU,DENIZ
219,758,2022-02-10 09:00:00,USKUDAR-EMINONU,DENIZ
220,733,2022-02-10 10:00:00,USKUDAR-EMINONU,DENIZ
221,871,2022-02-10 11:00:00,USKUDAR-EMINONU,DENIZ
222,1141,2022-02-10 12:00:00,USKUDAR-EMINONU,DENIZ
223,1050,2022-02-10 13:00:00,USKUDAR-EMINONU,DENIZ
224,1037,2022-02-10 14:00:00,USKUDAR-EMINONU,DENIZ
225,959,2022-02-10 15:00:00,USKUDAR-EMINONU,DENIZ
226,881,2022-02-10 16:00:00,USKUDAR-EMINONU,DENIZ
227,958,2022-02-10 17:00:00,USKUDAR-EMINONU,DENIZ
228,626,2022-02-10 18:00:00,USKUDAR-EMINONU,DENIZ
229,470,2022-02-10 19:00:00,USKUDAR-EMINONU,DENIZ
230,269,2022-02-10 20:00:00,USKUDAR-EMINONU,DENIZ
231,157,2022-02-10 21:00:00,USKUDAR-EMINONU,DENIZ
232,1,2022-02-10 22:00:00,USKUDAR-EMINONU,DENIZ
233,0,2022-02-10 23:00:00,USKUDAR-EMINONU,DENIZ
234,0,2022-02-11 00:00:00,USKUDAR-EMINONU,DENIZ
235,0,2022-02-11 01:00:00,USKUDAR-EMINONU,DENIZ
236,0,2022-02-11 02:00:00,USKUDAR-EMINONU,DENIZ
237,0,2022-02-11 03:00:00,USKUDAR-EMINONU,DENIZ
238,0,2022-02-11 04:00:00,USKUDAR-EMINONU,DENIZ
239,0,2022-02-11 05:00:00,USKUDAR-EMINONU,DENIZ
240,421,2022-02-11 06:00:00,USKUDAR-EMINONU,DENIZ
241,1031,2022-02-11 07:00:00,USKUDAR-EMINONU,DENIZ
242,853,2022-02-11 08:00:00,USKUDAR-EMINONU,DENIZ
243,758,2022-02-11 09:00:00,USKUDAR-EMINONU,DENIZ
244,880,2022-02-11 10:00:00,USKUDAR-EMINONU,DENIZ
245,1103,2022-02-11 11:00:00,USKUDAR-EMINONU,DENIZ
246,1338,2022-02-11 12:00:00,USKUDAR-EMINONU,DENIZ
247,1127,2022-02-11 13:00:00,USKUDAR-EMINONU,DENIZ
248,1289,2022-02-11 14:00:00,USKUDAR-EMINONU,DENIZ
249,1099,2022-02-11 15:00:00,USKUDAR-EMINONU,DENIZ
250,1134,2022-02-11 16:00:00,USKUDAR-EMINONU,DENIZ
251,1014,2022-02-11 17:00:00,USKUDAR-EMINONU,DENIZ
252,869,2022-02-11 18:00:00,USKUDAR-EMINONU,DENIZ
253,621,2022-02-11 19:00:00,USKUDAR-EMINONU,DENIZ
254,357,2022-02-11 20:00:00,USKUDAR-EMINONU,DENIZ
255,214,2022-02-11 21:00:00,USKUDAR-EMINONU,DENIZ
256,0,2022-02-11 22:00:00,USKUDAR-EMINONU,DENIZ
257,0,2022-02-11 23:00:00,USKUDAR-EMINONU,DENIZ
258,0,2022-02-12 00:00:00,USKUDAR-EMINONU,DENIZ
259,0,2022-02-12 01:00:00,USKUDAR-EMINONU,DENIZ
260,0,2022-02-12 02:00:00,USKUDAR-EMINONU,DENIZ
261,0,2022-02-12 03:00:00,USKUDAR-EMINONU,DENIZ
262,0,2022-02-12 04:00:00,USKUDAR-EMINONU,DENIZ
263,0,2022-02-12 05:00:00,USKUDAR-EMINONU,DENIZ
264,290,2022-02-12 06:00:00,USKUDAR-EMINONU,DENIZ
265,682,2022-02-12 07:00:00,USKUDAR-EMINONU,DENIZ
266,636,2022-02-12 08:00:00,USKUDAR-EMINONU,DENIZ
267,745,2022-02-12 09:00:00,USKUDAR-EMINONU,DENIZ
